"word","phonetic","meaning","level","category","example","related_words","part_of_speech","root"
"beneath","/biˈniːθ/","在...下方","CET4","CET4","","","prep",""
"beneficial","/ˌbenɪˈfɪʃəl/","有益的，有好处的","CET6","CET6","","","adj",""
"benefit","/ˈbenɪfɪt/","福利；好处","CET4","Business","Employees receive health benefits.","advantage, gain, profit, perk","noun","拉丁语 bene facere"
"berry","/ˈberi/","浆果(如草莓等)","CET4","CET4","","","n",""
"beside","/biˈsaid/","在...旁边","CET4","CET4","","","prep",""
"besides","/biˈsaidz/","而且 prep.除...之外","CET4","CET4","","","ad",""
"best","/best/","最好的；最大的","CET4","CET4","","","a",""
"bet","/bet/","&vi.&n.打赌","CET4","CET4","","","vt",""
"betray","/bɪˈtreɪ/","背叛，出卖 2. 辜负，不忠于 3. 泄露(秘密等)","CET6","CET6","","","v",""
"better","/ˈbetə/","较好的 ad.更好地","CET4","CET4","","","a",""
"between","/biˈtwiːn/","在...中间","CET4","CET4","","","prep",""
"bewilder","/bɪˈwɪldə/","迷惑，把...弄糊涂","CET6","CET6","","","v",""
"beyond","/bɪˈjɒnd/","在...之外，在...的更远处 2. 到...以后，晚于 3. 超出(能力，范围等) 4. 除了...之外","CET6","CET6","","","prep",""
"bible","/ˈbaibl/","基督教《圣经》","CET4","CET4","","","n",""
"bibliography","/ˌbɪblɪˈɒɡrəfɪ/","书目，目录，参考书目","CET6","CET6","","","n",""
"bicycle","/ˈbaisikl/","自行车，脚踏车","CET4","CET4","","","n",""
"bid","/bɪd/","投标；出价","CET6","Business","The company submitted a bid for the contract.","offer, proposal, tender, quote","verb/noun","古英语 biddan"
"big","/big/","大的，巨大的","CET4","CET4","","","a",""
"bike","/baik/","自行车 vi.骑自行车","CET4","CET4","","","n",""
"bill","/bɪl/","账单；法案","CET4","Business","Please pay the bill by the end of the month.","invoice, charge, statement, check","noun","拉丁语 bulla"
"billion","/ˈbiljən/","万亿(英)","CET4","CET4","","","num",""
"binary","/ˈbaɪnəri/","二进制的","CET6","Technology","Computers use binary code to process data.","digital, base-2, dual, twofold","adj","拉丁语 binarius"
"bind","/baind/","捆绑；包扎；装钉","CET4","CET4","","","vt",""
"biography","/baɪˈɒɡrəfɪ/","传记 2. 传记文学","CET6","CET6","","","n",""
"biology","/baɪˈɑːlədʒi/","生物学","CET4","Science","Biology is the study of living organisms.","life science, natural science, ecology","noun","希腊语 bios + logia"
"bird","/bəːd/","鸟，禽","CET4","CET4","","","n",""
"birth","/bəːθ/","分娩，出生；出身","CET4","CET4","","","n",""
"birthday","/ˈbəːθdei/","生日，诞生的日期","CET4","CET4","","","n",""
"biscuit","/ˈbiskit/","(英)饼干；(美)软饼","CET4","CET4","","","n",""
"bit","/bit/","一点，一些，小片","CET4","CET4","","","n",""
"bite","/bait/","咬，叮，螫；剌穿","CET4","CET4","","","vt",""
"bitter","/ˈbitə/","痛苦的；严寒的","CET4","CET4","","","a",""
"bitterly","/ˈbitəli/","苦苦地；悲痛地","CET4","CET4","","","ad",""
"bizarre","/bɪˈzɑː/","古怪的，怪诞的","CET6","CET6","","","adj",""
"black","/blæk/","黑色的；黑暗的","CET4","CET4","","","a",""
"blackboard","/ˈblækbɔːd/","黑板","CET4","CET4","","","n",""
"blade","/bleid/","刀刃，刀片；叶片","CET4","CET4","","","n",""
"blame","/bleim/","责备，把...归咎于","CET4","CET4","","","vt",""
"blank","/blæŋk/","空白的 2. 空虚的，单调的 3. 茫然的 4. 失色的，没有表情的 5. 无韵脚的","CET6","CET6","","","adj",""
"blanket","/ˈblæŋkit/","毛毯，毯子，羊毛毯","CET4","CET4","","","n",""
"blast","/blɑːst/","爆炸，冲击波 vt.炸","CET4","CET4","","","n",""
"blaze","/bleɪz/","火，火焰 2. 光辉，灿烂 3. 迸发，爆发","CET6","CET6","","","n",""
"bleed","/bliːd/","出血，流血 2. 悲痛，同情","CET6","CET6","","","v",""
"blend","/blend/","&vi.&n.混和","CET4","CET4","","","vt",""
"bless","/bles/","为...祝福","CET4","CET4","","","vt",""
"blind","/blaind/","瞎的；盲目的","CET4","CET4","","","a",""
"blink","/blɪŋk/","(星星)闪烁 2. (眼睛)眨眼","CET6","CET6","","","v",""
"block","/blɔk/","街区 vt.堵塞，拦阻","CET4","CET4","","","n",""
"blood","/blʌd/","血，血液；血统","CET4","CET4","","","n",""
"bloom","/bluːm/","花；开花，开花期","CET4","CET4","","","n",""
"blossom","/ˈblɒsəm/","花，开花的状态","CET6","CET6","","","n",""
"blow","/bləu/","吹，吹动；吹响","CET4","CET4","","","vi",""
"blue","/bluː/","蓝色的 n.蓝色","CET4","CET4","","","a",""
"blunder","/ˈblʌndə/","错误","CET6","CET6","","","n",""
"blunt","/blʌnt/","钝的，不锋利的 2. (举止言谈等)生硬的，直率的，不拐弯抹角的 3. (感觉、理解方面)迟钝的","CET6","CET6","","","adj",""
"blur","/blɜː/","模糊不清的事物","CET6","CET6","","","n",""
"blush","/blʌʃ/","脸红","CET6","CET6","","","n",""
"board","/bɔːd/","板 vt.上(船、车等)","CET4","CET4","","","n",""
"boast","/bəust/","自夸 vt.吹嘘","CET4","CET4","","","vi",""
"boat","/bəut/","小船，艇；渔船","CET4","CET4","","","n",""
"body","/ˈbɔdi/","身体；主体；尸体","CET4","CET4","","","n",""
"boil","/bɔil/","沸腾；汽化 vt.煮沸","CET4","CET4","","","vi",""
"bold","/bəuld/","大胆的；冒失的","CET4","CET4","","","a",""
"bolt","/bəult/","螺栓；插销 vt.闩门","CET4","CET4","","","n",""
"bomb","/bɔm/","炸弹 vt.轰炸","CET4","CET4","","","n",""
"bond","/bɑːnd/","债券","CET6","Business","Investors buy government bonds for security.","security, debenture, note, certificate","noun","古英语 bindan"
"bone","/bəun/","骨，骨骼","CET4","CET4","","","n",""
"bonus","/ˈboʊnəs/","奖金","CET4","Business","Employees received a year-end bonus.","reward, incentive, premium, extra","noun","拉丁语 bonus"
"book","/buk/","书，书籍 vt.预定","CET4","CET4","","","n",""
"booklet","/ˈbʊklɪt/","小册子","CET6","CET6","","","n",""
"boot","/buːt/","靴子，长统靴","CET4","CET4","","","n",""
"booth","/buːð/","(有篷的)货摊 2. (AmE)公用电话亭 3. (隔开的)小间","CET6","CET6","","","n",""
"border","/ˈbɔːdə/","边界，国境，边境地区 2. 边，缘，边沿  3. 滚边","CET6","CET6","","","n",""
"bore","/bɔː/","使厌烦；钻，挖","CET4","CET4","","","vt",""
"born","/bɔːn/","天生的；出生的","CET4","CET4","","","a",""
"borrow","/ˈbɔrəu/","借，借用，借人","CET4","CET4","","","vt",""
"bosom","/ˈbuzəm/","胸，胸部；内心","CET4","CET4","","","n",""
"boss","/bɔs/","老板，上司 vt.指挥","CET4","CET4","","","n",""
"both","/bəuθ/","两者(都)","CET4","CET4","","","pron",""
"bother","/ˈbɔðə/","烦扰，迷惑 n.麻烦","CET4","CET4","","","vt",""
"botnet","/ˈbɒtnet/","僵尸网络","TOEFL","Cybersecurity","The botnet was used to launch DDoS attacks.","network, malware, zombie, attack","noun","robot + network"
"bottle","/ˈbɔtl/","瓶，酒瓶；一瓶","CET4","CET4","","","n",""
"bottom","/ˈbɔtəm/","底，底部，根基","CET4","CET4","","","n",""
"bough","/bau/","树枝","CET4","CET4","","","n",""
"bounce","/ˈbaʊns/","(球)反跳，弹起 2. (人)跳(起) 3. 拍(球)，使跳回 4. 使撞击","CET6","CET6","","","v",""
"bound","/baund/","一定的；有义务的","CET4","CET4","","","a",""
"boundary","/ˈbaundəri/","分界线，办界","CET4","CET4","","","n",""
"bow","/bau/","弓；蝴蝶结；鞠躬","CET4","CET4","","","n",""
"bowel","/ˈbauәl/","肠，内脏 2. 内部，深处","CET6","CET6","","","n",""
"bowl","/bəul/","碗，钵；碗状物","CET4","CET4","","","n",""
"box","/bɔks/","拳击，打拳","CET4","CET4","","","vi",""
"boy","/bɔi/","男孩，少年；家伙","CET4","CET4","","","n",""
"boycott","/ˈbɔɪkɒt/","&n. (联合)抵制","CET6","CET6","","","v",""
"brace","/breɪs/","支柱，支架 2. 一双，一对 3. 大括号{}的前半或后 4. (pl BrE)(裤子)背带=(AmE) suspenders","CET6","CET6","","","n",""
"bracket","/ˈbrækɪt/","架子  2. (pl)括号","CET6","CET6","","","n",""
"brain","/brein/","脑，脑髓；脑力","CET4","CET4","","","n",""
"brake","/breik/","闸，刹车 vi.制动","CET4","CET4","","","n",""
"branch","/brɑːnt∫/","树枝；分部；分科","CET4","CET4","","","n",""
"brand","/brænd/","品牌","CET4","Business","Apple is one of the most valuable brands.","label, trademark, logo, identity","noun","古英语 brand"
"brandy","/ˈbrændi/","白兰地酒","CET4","CET4","","","n",""
"brass","/brɑːs/","黄铜；黄铜器","CET4","CET4","","","n",""
"brave","/breiv/","勇敢的，华丽的","CET4","CET4","","","a",""
"breach","/briːtʃ/","违反， 不履行 2. 绝交， 不和 3. 破洞，裂缝","CET6","CET6","","","n",""
"bread","/bred/","面包；食物，粮食","CET4","CET4","","","n",""
"breadth","/bredθ/","宽度，幅度；幅面","CET4","CET4","","","n",""
"break","/breik/","打破；损坏；破坏","CET4","CET4","","","vt",""
"breakdown","/ˈbreikdaun/","崩溃，故障","CET6","CET6","","","n",""
"breakfast","/ˈbrekfəst/","早饭，早餐","CET4","CET4","","","n",""
"breakthrough","/ˈbreɪkθruː/","(敌方防卫线的)突破 2. 重大发现","CET6","CET6","","","n",""
"breast","/brest/","乳房；胸脯，胸膛","CET4","CET4","","","n",""
"breath","/breθ/","气息，呼吸；气味","CET4","CET4","","","n",""
"breathe","/briːð/","呼吸 vt.呼吸","CET4","CET4","","","vi",""
"breed","/briːd/","品种，种类","CET6","CET6","","","n",""
"breeze","/briːz/","微风，和风","CET4","CET4","","","n",""
"brew","/bruː/","酿造(啤酒) 2. 泡(茶)，煮(咖啡) 3. 酝酿","CET6","CET6","","","v",""
"bribe","/braɪb/","贿赂","CET6","CET6","","","n",""
"brick","/brik/","砖，砖块；砖状物","CET4","CET4","","","n",""
"bridge","/bridʒ/","桥，桥梁；桥牌","CET4","CET4","","","n",""
"brief","/briːf/","简短的","IELTS","IELTS","Please give a brief summary of the report.","short, concise, succinct, quick","adj","拉丁语 brevis"
"bright","/brait/","明亮的；聪明的","CET4","CET4","","","a",""
"brighten","/ˈbraitn/","使发光；使快活","CET4","CET4","","","vt",""
"brilliant","/ˈbrɪlɪənt/","光辉的，辉煌的 2. 卓越的，聪颖的","CET6","CET6","","","adj",""
"brim","/brim/","边，边缘；帽沿","CET4","CET4","","","n",""
"bring","/briŋ/","带来；引出；促使","CET4","CET4","","","vt",""
"brink","/brɪŋk/","(峭壁顶上的)边缘，(河流等的)边沿，边 2. 边缘 || on the brink of ...濒临，正要...之际","CET6","CET6","","","n",""
"brisk","/brɪsk/","活跃的，轻快的 2. (天气等)清新的，令人爽快的 3. 兴旺的，生气勃勃的","CET6","CET6","","","adj",""
"bristle","/ˈbrisl/","短而硬的毛；鬃毛","CET4","CET4","","","n",""
"britain","/ˈbritən/","不列颠，英国","CET4","CET4","","","n",""
"british","/ˈbriti∫/","不列颠的，英联邦的","CET4","CET4","","","a",""
"brittle","/ˈbritl/","脆的；易损坏的","CET4","CET4","","","a",""
"broad","/brɔːd/","宽的，阔的；广泛的","CET4","CET4","","","a",""
"broadcast","/ˈbrɔːdkɑːst/","广播，播音","CET4","CET4","","","n",""
"broken","/ˈbrəukən/","被打碎的，骨折的","CET4","CET4","","","a",""
"broker","/ˈbroʊkər/","经纪人","CET6","Business","The broker arranged the real estate deal.","agent, intermediary, dealer, mediator","noun","古法语 broceur"
"bronze","/brɒnz/","青铜，古铜 2. 青铜制(艺术)品 3. 青铜色","CET6","CET6","","","n",""
"brood","/bruːd/","(鸡等)一窝，同窝幼鸟 2. (同类或同种的)一伙，一组(事物)","CET6","CET6","","","n",""
"brook","/bruk/","小河，溪流","CET4","CET4","","","n",""
"broom","/bruːm/","扫帚","CET4","CET4","","","n",""
"brother","/ˈbrʌðə/","兄弟；同事，同胞","CET4","CET4","","","n",""
"brow","/brau/","额；眉，眉毛","CET4","CET4","","","n",""
"brown","/braun/","褐色，棕色","CET4","CET4","","","n",""
"browser","/ˈbraʊzər/","浏览器","CET4","Technology","Open your browser to visit the website.","web client, explorer, navigator","noun","browse + -er"
"bruise","/bruːz/","(人体、水果或植物等碰撞后产生的)青肿或伤痕 2. (感情等方面)挫伤","CET6","CET6","","","n",""
"brush","/brʌ∫/","刷子，毛刷；画笔","CET4","CET4","","","n",""
"brutal","/ˈbruːtəl/","残忍的，兽性的","CET6","CET6","","","adj",""
"brute","/bruːt/","禽兽，畜生","CET4","CET4","","","n",""
"bubble","/ˈbʌbl/","泡 vi.冒泡，沸腾","CET4","CET4","","","n",""
"buck","/bʌk/","雄鹿，雄兔","CET6","CET6","","","n",""
"bucket","/ˈbʌkit/","水桶；吊桶；铲斗","CET4","CET4","","","n",""
"bud","/bʌd/","芽，萌芽状态 2. 蓓蕾","CET6","CET6","","","n",""
"budget","/ˈbʌdʒɪt/","预算","CET4","Business","The project must stay within budget.","funds, allocation, allowance, plan","noun","法语 bougette"
"bug","/bʌɡ/","小虫 2. 病菌 3. 窃听器 4. (电脑等的)故障","CET6","CET6","","","n",""
"build","/bild/","建筑；建立；创立","CET4","CET4","","","vt",""
"building","/ˈbildiŋ/","建筑物，大楼；建筑","CET4","CET4","","","n",""
"bulb","/bʌlb/","电灯泡；球状物","CET4","CET4","","","n",""
"bulk","/bʌlk/","容量，体积，数量","CET6","CET6","","","n",""
"bull","/bʊl/","公牛","CET6","CET6","","","n",""
"bullet","/ˈbulit/","枪弹，子弹，弹丸","CET4","CET4","","","n",""
"bulletin","/ˈbʊlətɪn/","公报，公告","CET6","CET6","","","n",""
"bully","/ˈbʊlɪ/","欺侮，强迫... (做某事)","CET6","CET6","","","v",""
"bump","/bʌmp/","碰撞 2. 撞击 3. 颠簸地行驶","CET6","CET6","","","v",""
"bunch","/bʌnt∫/","束，球，串；一群","CET4","CET4","","","n",""
"bundle","/ˈbʌndl/","捆，包，束；包袱","CET4","CET4","","","n",""
"burden","/ˈbɜːdən/","担子，负担","CET6","CET6","","","n",""
"bureau","/bjuəˈrəu/","局，司，处；社，所","CET4","CET4","","","n",""
"bureaucracy","/bjʊəˈrɒkrəsɪ/","官僚制度，官僚体制 2. 官僚作风","CET6","CET6","","","n",""
"burial","/ˈberɪəl/","埋葬，葬礼","CET6","CET6","","","n",""
"burn","/bəːn/","烧，燃烧 n.烧伤","CET4","CET4","","","vi",""
"burst","/bəːst/","使爆裂 vi.&n.爆炸","CET4","CET4","","","vt",""
"bury","/ˈberi/","埋葬，葬；埋藏","CET4","CET4","","","vt",""
"bus","/bʌs/","公共汽车","CET4","CET4","","","n",""
"bush","/bu∫/","灌木，灌木丛，矮树","CET4","CET4","","","n",""
"business","/ˈbɪznəs/","商业；业务","CET4","Business","She started her own business at age 25.","commerce, trade, enterprise, company","noun","古英语 bisignis"
"busy","/ˈbizi/","忙的，繁忙的","CET4","CET4","","","a",""
"but","/bʌt/","但是，可是","CET4","CET4","","","conj",""
"butcher","/ˈbut∫ə/","屠夫；屠杀者","CET4","CET4","","","n",""
"butter","/ˈbʌtə/","黄油；奶油","CET4","CET4","","","n",""
"butterfly","/ˈbʌtəflai/","蝴蝶","CET4","CET4","","","n",""
"button","/ˈbʌtn/","扣子；按钮 vt.扣紧","CET4","CET4","","","n",""
"buy","/bai/","买，购买 vi.买","CET4","CET4","","","vt",""
"buzz","/bʌz/","嗡嗡声 2. 嘈杂声","CET6","CET6","","","n",""
"by","/bai/","在...旁；被，由","CET4","CET4","","","prep",""
"bypass","/ˈbaɪpɑːs/","(绕过市镇的)旁道，迂回道","CET6","CET6","","","n",""
"cabbage","/ˈkæbidʒ/","洋白菜，卷心菜","CET4","CET4","","","n",""
"cabin","/ˈkæbɪn/","(简陋的)小屋 2. 船舱，机舱","CET6","CET6","","","n",""
"cabinet","/ˈkæbɪnɪt/","橱柜  2. 内阁","CET6","CET6","","","n",""
"cable","/ˈkeɪbl/","缆，索，钢丝绳 2. 电缆，海底电缆，海底电报","CET6","CET6","","","n",""
"cache","/kæʃ/","缓存","CET6","Technology","The browser cache speeds up page loading.","buffer, storage, memory, temp","noun","法语 cacher"
"cafe","/ˈkæfei/","咖啡馆；小餐厅","CET4","CET4","","","n",""
"cafeteria","/ˌkæfəˈtɪərɪə/","自助餐厅","CET6","CET6","","","n",""
"cage","/keidʒ/","笼；鸟笼，囚笼","CET4","CET4","","","n",""
"cake","/keik/","饼，糕，蛋糕","CET4","CET4","","","n",""
"calcium","/ˈkælsɪəm/","钙","CET6","CET6","","","n",""
"calculate","/ˈkælkjuleit/","计算；估计；计划","CET4","CET4","","","vt",""
"calculation","/ˌkælkjuˈlei∫ən/","计算，计算结果","CET4","CET4","","","n",""
"calculator","/ˈkælkjuleitə/","计算器，计算者","CET4","CET4","","","n",""
"calendar","/ˈkælində/","日历，历书；历法","CET4","CET4","","","n",""
"call","/kɔːl/","把...叫做；叫，喊","CET4","CET4","","","vt",""
"calm","/kɑːm/","静的，平静的","CET4","CET4","","","a",""
"calorie","/ˈkælərɪ/","(热量单位)卡路里","CET6","CET6","","","n",""
"camel","/ˈkæməl/","骆驼","CET4","CET4","","","n",""
"camera","/ˈkæmərə/","照相机，摄影机","CET4","CET4","","","n",""
"camp","/kæmp/","野营，营地，兵营","CET4","CET4","","","n",""
"campaign","/kæmˈpeɪn/","活动；战役","CET4","Business","The marketing campaign was very successful.","drive, initiative, promotion, effort","noun","拉丁语 campania"
"campus","/ˈkæmpəs/","校园，学校场地","CET4","CET4","","","n",""
"can","/kæn/","罐头，听头；容器","CET4","CET4","","","n",""
"canada","/ˈkænədə/","加拿大","CET4","CET4","","","n",""
"canadian","/kəˈneidjən/","加拿大的","CET4","CET4","","","a",""
"canal","/kəˈnæl/","运河；沟渠；管","CET4","CET4","","","n",""
"cancel","/ˈkænsəl/","取消 2. 删去，省略，划掉","CET6","CET6","","","v",""
"cancer","/ˈkænsə/","癌，癌症","CET6","CET6","","","n",""
"candidate","/ˈkændɪdət/","候选人 2. 应试者，应考者","CET6","CET6","","","n",""
"candle","/ˈkændl/","蜡烛；烛形物；烛光","CET4","CET4","","","n",""
"candy","/ˈkændi/","糖果；砂糖结晶","CET4","CET4","","","n",""
"cane","/keɪn/","细长而有节的茎 2. 手杖","CET6","CET6","","","n",""
"cannon","/ˈkænən/","大炮","CET6","CET6","","","n",""
"canoe","/kəˈnuː/","独木舟，皮艇，划子","CET4","CET4","","","n",""
"canon","/ˈkænən/","教会法规 2. (行为或思想的)规范; 准则 3. (任职大教堂的)教士","CET6","CET6","","","n",""
"canteen","/kænˈtiːn/","小卖部；临时餐室","CET4","CET4","","","n",""
"canvas","/ˈkænvəs/","帆布 2. 画布，油画","CET6","CET6","","","n",""
"cap","/kæp/","帽子，便帽；帽状物","CET4","CET4","","","n",""
"capable","/ˈkeɪpəbl/","有能力的","IELTS","IELTS","She is capable of handling complex tasks.","competent, able, skilled, proficient","adj","拉丁语 capere"
"capacity","/kəˈpæsəti/","能力；容量","IELTS","IELTS","The stadium has a capacity of 50,000.","capability, volume, space, ability","noun","拉丁语 capacitas"
"capital","/ˈkæpɪtl/","资本；首都","CET4","Business","The company raised capital from investors.","funds, investment, finance, wealth","noun","拉丁语 capitalis"
"capsule","/ˈkæpsjuːl/","药丸，胶囊 2. 太空舱","CET6","CET6","","","n",""
"captain","/ˈkæptin/","陆军上尉；队长","CET4","CET4","","","n",""
"caption","/ˈkæpʃən/","图片上的说明文字，(报刊文章的)标题","CET6","CET6","","","n",""
"captive","/ˈkæptɪv/","俘虏","CET6","CET6","","","n",""
"capture","/ˈkæpt∫ə/","捕获，俘获；夺得","CET4","CET4","","","vt",""
"car","/kɑː/","汽车，小汽车，轿车","CET4","CET4","","","n",""
"carbon","/ˈkɑːbən/","碳","CET4","CET4","","","n",""
"card","/kɑːd/","卡，卡片，名片","CET4","CET4","","","n",""
"care","/keə/","关心，介意 n.小心","CET4","CET4","","","vi",""
"career","/kəˈriə/","生涯，职业，经历","CET4","CET4","","","n",""
"careful","/ˈkeəful/","仔细的；细致的","CET4","CET4","","","a",""
"careless","/ˈkeəlis/","粗心的，漫不经心的","CET4","CET4","","","a",""
"cargo","/ˈkɑːgəu/","船货，货物","CET4","CET4","","","n",""
"carpenter","/ˈkɑːpintə/","木工，木匠","CET4","CET4","","","n",""
"carpet","/ˈkɑːpit/","地毯，毡毯，毛毯","CET4","CET4","","","n",""
"carriage","/ˈkæridʒ/","客车厢；四轮马车","CET4","CET4","","","n",""
"carrier","/ˈkæriə/","运输工具；运载工具","CET4","CET4","","","n",""
"carrot","/ˈkærət/","胡罗卜","CET4","CET4","","","n",""
"carry","/ˈkæri/","携带；运载；传送","CET4","CET4","","","vt",""
"cart","/kɑːt/","二轮运货马车","CET4","CET4","","","n",""
"carve","/kɑːv/","雕刻 2. 切(熟肉)，切开","CET6","CET6","","","v",""
"case","/keis/","情况；事实；病例","CET4","CET4","","","n",""
"cash","/kæ∫/","现金，现款","CET4","CET4","","","n",""
"cassette","/kɑːˈset/","盒式录音带；盒子","CET4","CET4","","","n",""
"cast","/kɑːst/","投，掷，抛 2. 投射(光、影等) 3. 投(票)","CET6","CET6","","","v",""
"castle","/ˈkæsl/","城堡；巨大建筑物","CET4","CET4","","","n",""
"casual","/ˈkæʒjʊəl/","偶然的，碰巧的 2. 随便的 3. 临时的","CET6","CET6","","","adj",""
"casualty","/ˈkæʒjʊəltɪ/","意外或战争中的伤亡者","CET6","CET6","","","n",""
"cat","/kæt/","猫，猫科，猫皮","CET4","CET4","","","n",""
"catalog","/ˈkætəlɔg/","目录，目录册","CET4","CET4","","","n",""
"catastrophe","/kəˈtæstrəfɪ/","(突然的)大灾祸，大灾害","CET6","CET6","","","n",""
"catch","/kæt∫/","捉住；赶上；领会","CET4","CET4","","","vt",""
"category","/ˈkætəɡɔːri/","类别","IELTS","IELTS","Please select the appropriate category.","class, group, type, classification","noun","希腊语 kategoria"
"cater","/ˈkeɪtə/","供应伙食，提供娱乐节目，为(宴会等)供应酒菜 2. 迎合，投合","CET6","CET6","","","v",""
"cathedral","/kəˈθiːdrəl/","大寺院，大教堂","CET6","CET6","","","n",""
"catholic","/ˈkæθәlik/","天主教徒 a. 1. 天主教的 2. 普遍的，广泛的，宽宏大量的","CET6","CET6","","","n",""
"cattle","/ˈkætl/","牛；牲口，家畜","CET4","CET4","","","n",""
"cause","/kɔːz/","原因，理由；事业","CET4","CET4","","","n",""
"caution","/ˈkɔːʃən/","当心，谨慎 2. 告诫，警告","CET6","CET6","","","n",""
"cautious","/ˈkɔːʃəs/","细心的，谨慎的","CET6","CET6","","","adj",""
"cave","/keiv/","山洞，洞穴，窑洞","CET4","CET4","","","n",""
"cavity","/ˈkævətɪ/","洞，穴","CET6","CET6","","","n",""
"cease","/siːs/","停止；终止","IELTS","IELTS","The company has ceased operations.","stop, halt, end, discontinue","verb","拉丁语 cessare"
"ceiling","/ˈsiːliŋ/","天花板，顶蓬","CET4","CET4","","","n",""
"celebrate","/ˈselibreit/","庆祝；歌颂，赞美","CET4","CET4","","","vt",""
"cell","/sel/","细胞；小房间","CET4","CET4","","","n",""
"cellar","/ˈselə/","地窖","CET6","CET6","","","n",""
"cellular","/ˈseljələr/","细胞的","CET6","Science","Cellular biology studies the structure of cells.","biological, organic, microscopic, structural","adj","拉丁语 cellula"
"cement","/siˈment/","水泥；胶泥 vt.粘结","CET4","CET4","","","n",""
"cemetery","/ˈsemɪtrɪ/","墓地，公墓","CET6","CET6","","","n",""
"census","/ˈsensəs/","人口调查，人口普查","CET6","CET6","","","n",""
"cent","/sent/","分；分币；百","CET4","CET4","","","n",""
"centigrade","/ˈsentigreid/","百分度的","CET4","CET4","","","a",""
"centimetre","/ˈsentiˌmiːtə/","公分，厘米","CET4","CET4","","","n",""
"central","/ˈsentr(ə)l/","中心的；主要的","CET4","CET4","","","a",""
"centre","/ˈsentə/","中心；中枢 vt.集中","CET4","CET4","","","n",""
"century","/ˈsent∫uri/","世纪，百年","CET4","CET4","","","n",""
"CEO","/ˌsiː iː ˈoʊ/","首席执行官","CET6","Business","The CEO announced a new company strategy.","executive, director, president, chief","noun","Chief Executive Officer"
"ceramic","/sɪˈræmɪk/","制陶业，陶器，陶瓷工艺","CET6","CET6","","","n",""
"cereal","/ˈsɪərɪəl/","谷类食物，谷物","CET6","CET6","","","n",""
"ceremony","/ˈseriməni/","典礼，仪式；礼节","CET4","CET4","","","n",""
"certain","/ˈsəːtən/","确实的；肯定的","CET4","CET4","","","a",""
"certainly","/ˈsəːtənli/","一定，必定；当然","CET4","CET4","","","ad",""
"certainty","/ˈsɜːtəntɪ/","确实性 2. 确实的事","CET6","CET6","","","n",""
"certificate","/səˈtifikit/","证书，证件，执照","CET4","CET4","","","n",""
"certify","/ˈsɜːtɪfaɪ/","证明，证实","CET6","CET6","","","v",""
"chain","/t∫ein/","链，链条，项圈","CET4","CET4","","","n",""
"chair","/t∫eə/","椅子；主席","CET4","CET4","","","n",""
"chairman","/ˈtʃermən/","主席","CET4","Business","The chairman presided over the meeting.","chairperson, president, director, head","noun","chair + man"
"chalk","/t∫ɔːk/","白垩；粉笔","CET4","CET4","","","n",""
"challenge","/ˈtʃælɪndʒ/","挑战","IELTS","IELTS","Learning a new language is a challenge.","difficulty, test, obstacle, trial","noun","拉丁语 calumnia"
"chamber","/ˈt∫eimbə/","会议室；房间；腔","CET4","CET4","","","n",""
"champagne","/ʃæmˈpeɪn/","香槟酒","CET6","CET6","","","n",""
"champion","/ˈtʃæmpɪən/","冠军，优胜者 2. 拥护者，战士，斗士","CET6","CET6","","","n",""
"chance","/t∫ɑːns/","机会，机遇；可能性","CET4","CET4","","","n",""
"change","/t∫eindʒ/","改变，变化；零钱","CET4","CET4","","","n",""
"channel","/ˈt∫ænl/","海峡；渠道；频道","CET4","CET4","","","n",""
"chant","/tʃɑːnt/","吟唱 2. 反复的大声说 3. 吟唱的曲调","CET6","CET6","","","n",""
"chapel","/ˈtʃæpəl/","(基督教)小教堂","CET6","CET6","","","n",""
"chapter","/ˈt∫æptə/","章，回，篇","CET4","CET4","","","n",""
"character","/ˈkærəktə/","特性，性质，特征 2. (小说，戏剧等)人物，角色 3. 字，书写符号，印刷符号","CET6","CET6","","","n",""
"characteristic","/ˌkærəktəˈrɪstɪk/","特征；特点","IELTS","IELTS","What are the main characteristics of this species?","feature, trait, attribute, quality","noun","希腊语 charakter"
"characterize","/ˈkærәktәraiz/","描绘......的特性，刻划......的性格","CET6","CET6","","","v",""
"charge","/tʃɑːdʒ/","要(价)，收(费)，要(人)支付 2. 冲锋 3. 以某事指控某人，(指在法庭上)控告某人","CET6","CET6","","","v",""
"charity","/ˈt∫æriti/","施舍；慈善事业","CET4","CET4","","","n",""
"charming","/ˈt∫ɑːmiŋ/","迷人的，可爱的","CET4","CET4","","","a",""
"chart","/t∫ɑːt/","图，图表；海图","CET4","CET4","","","n",""
"chase","/tʃeɪs/","追逐追赶，追击","CET6","CET6","","","v",""
"cheap","/t∫iːp/","廉价的；劣质的","CET4","CET4","","","a",""
"cheat","/t∫iːt/","骗取；哄 vi.行骗","CET4","CET4","","","vt",""
"check","/t∫ek/","检查；制止 n.检查","CET4","CET4","","","vt",""
"cheek","/t∫iːk/","面颊，脸蛋","CET4","CET4","","","n",""
"cheer","/t∫iə/","使振作；欢呼","CET4","CET4","","","vt",""
"cheerful","/ˈt∫iəful/","快乐的，愉快的","CET4","CET4","","","a",""
"cheese","/t∫iːz/","乳酪，干酪","CET4","CET4","","","n",""
